,Designer Names,Plays,Number of Plays,Tony?,Number of Tony Nominations/Wins
33,watson barratt,"['the most happy fella', 'a streetcar named desire', 'the righteous are bold', 'the time of your life', 'the starcross story', 'with a silk thread', 'my romance', 'hedda gabler', 'ghosts', 'louisiana lady', 'heads or tails', 'little a', 'flamingo road', 'january thaw', 'happily ever after', 'rebecca', 'a lady says yes', 'pick up girl', 'sheppey', 'bright boy', 'artists and models', 'blossom time', 'the student prince', 'ziegfeld follies of', 'this rock', 'ask my friend sandy', 'little darling', 'magic  hello out there', 'yesterdays magic', 'the rivals', 'golden wings', 'hope for a harvest', 'ah wilderness', 'my fair ladies', 'night of love', 'romantic mr dickens', 'the time of your life', 'kind lady', 'walk with music', 'loves old sweet song', 'leave her to heaven', 'billy draws a horse', 'foreigners', 'the time of your life', 'clean beds', 'close quarters', 'the importance of being earnest', 'the white steed', 'blossom time', 'outward bound', 'madame capet', 'you never know', 'come across', 'bachelor born', 'three waltzes', 'tell me pretty maiden', 'merely murder', 'wise tomorrow', 'the lady has a heart', 'hitch your wagon', 'frederika', 'black limelight', 'green waters', 'the laughing woman', 'the golden journey', 'case of clyde griffiths', 'come angel band', 'mid west', 'knock on wood', 'laburnum grove', 'living dangerously', 'music hath charms', 'so many paths', 'a roman servant', 'no more ladies', 'bitter sweet', 'the shatterd lamp', 'the perfumed lady', 'no more ladies', 'ziegfeld follies of', 'ten minute alibi', 'smiling faces', 'marching by', 'a little racketeer', 'the school for scandal', 'everybodys welcome', 'as you desire me', 'meet my sister', 'scarlet sister mary', 'hello paris', 'nina rosa', 'three little girls', 'a wonderful night', 'the street singer', 'broadway nights', 'a night in venice', 'the love duel', 'music in may', 'pleasure bound', 'boom boom', 'young love', 'luckee girl', 'the greenwich village follies', 'sunny days', 'the silent house', 'the optimists', 'lovely lady', 'artists and models', 'the love call', 'my maryland', 'a night in spain', 'the circus princess', 'cherry blossoms', 'the nightingale', 'gay paree', 'katja', 'a night in paris', 'the merry world', 'the great temptations', 'blossom time', 'a night in paris', 'mayflowers', 'princess flavia', 'gay paree', 'june days', 'artists and models', 'sky high', 'the love song', 'big boy', 'artists and models', 'the passing show of', 'the dream girl', 'marjorie', 'innocent eyes', 'blossom time', 'vogues of', 'topics of', 'the passing show of', 'dew drop inn', 'bombo', 'caroline', 'the dancing girl', 'springtime of youth', 'the lady in ermine', 'the passing show of', 'make it snappy', 'the hotel mouse', 'the rose of stamboul', 'the blushing bride', 'bombo', 'blossom time', 'the mimic world', 'the whirl of new york', 'the last waltz', 'cinderella on broadway', 'florodora', 'tick tack toe', 'the passing show of', 'oh what a girl', 'shubert gaieties of', 'monte cristo jr', 'the melting of molly', 'little simplicity', 'the passing show of', 'sinbad', 'girl o mine']",166,0,0
34,andr barsacq,"['brnice', 'the good soup', 'volpone']",3,0,0
35,natalie barth walker,"['marlowe', 'double in hearts', 'borscht capades', 'season in the sun', 'black chiffon', 'two blind mice', 'the cup of trembling', 'the first mrs fraser']",8,0,0
36,howard bay,"['man of la mancha', 'the utter glory of morrissey hall', 'man of la mancha', 'poor murderer', 'home sweet homer', 'equus', 'man of la mancha', 'cry for us all', 'fire', 'the little foxes', 'man of la mancha', 'never live over a pretzel factory', 'bicycle ride to nevada', 'pal joey', 'my mother my father and me', 'isle of children', 'milk and honey', 'the wall', 'finians rainbow', 'toys in the attic', 'the cool world', 'cut of the axe', 'the fighting cock', 'a desert incident', 'interlock', 'the music man', 'romanoff and juliet', 'look back in anger', 'night of the auk', 'a very special baby', 'red roses for me', 'finians rainbow', 'the desperate hours', 'sandhog', 'show boat', 'the shrike', 'mid summer', 'the childrens hour', 'the shrike', 'the grand tour', 'two on the aisle', 'flahooley', 'the autumn garden', 'hilda crane', 'borned in texas', 'the lady from the sea', 'parisienne', 'michael todds peep show', 'come back little sheba', 'montserrat', 'the big knife', 'as the girls go', 'magdalena', 'up in central park', 'woman bites dog', 'carmen jones', 'the would be gentleman', 'show boat', 'polonaise', 'deep are the roots', 'devils galore', 'marinka', 'carmen jones', 'up in central park', 'violet', 'the visitor', 'the merry widow', 'men to the sea', 'song of norway', 'catherine was great', 'ten little indians', 'the searching wind', 'follow the girls', 'chicken every sunday', 'storm operation', 'listen professor', 'carmen jones', 'one touch of venus', 'a new life', 'the corn is green', 'the patriots', 'something for the boys', 'the great big doorstep', 'count me in', 'the eve of st mark', 'uncle harry', 'the strings my lord are false', 'the moon is down', 'johnny', 'brooklyn usa', 'the man with blond hair', 'the corn is green', 'morning star', 'the fifth column', 'life and death of an american', 'the little foxes', 'trojan incident', 'the merry wives of windsor', 'power', 'power', 'sunup to sundown', 'one third of a nation', 'native ground', 'power', 'marching song', 'battle hymn', 'chalk dust']",107,1,3
37,cecil beaton,"['my fair lady', 'my fair lady', 'coco', 'tenderloin', 'dear liar', 'saratoga', 'look after lulu', 'little glass clock', 'my fair lady', 'the chalk garden', 'portrait of a lady', 'quadrille', 'the grass harp', 'cry of the peacock', 'lady windermeres fan']",15,1,1
38,john lee beatty,"['john lithgow stories by heart', 'junk', 'sweat', 'the heidi chronicles', 'disgraced', 'the country house', 'love letters', 'mothers and sons', 'outside mullingar', 'after midnight', 'the snow geese', 'orphans', 'the big knife', 'the nance', 'an enemy of the people', 'dont dress for dinner', 'the columnist', 'hugh jackman back on broadway', 'venus in fur', 'other desert cities', 'born yesterday', 'good people', 'driving miss daisy', 'lend me a tenor', 'time stands still', 'a view from the bridge', 'finians rainbow', 'brighton beach memoirs', 'the royal family', 'accent on youth', 'dr seuss how the grinch stole christmas', 'mauritius', 'the apple tree', 'dr seuss how the grinch stole christmas', 'losing louie', 'heartbreak house', 'the caine mutiny court martial', 'rabbit hole', 'the color purple', 'the odd couple', 'absurd person singular', 'a naked girl on the appian way', 'after the night and the music', 'doubt', 'whos afraid of virginia woolf', 'the rivals', 'twentieth century', 'wonderful town', 'the caretaker', 'the retreat from moscow', 'master haroldand the boys', 'tartuffe', 'dinner at eight', 'say goodnight gracie', 'frankie and johnny in the clair de lune', 'mornings at seven', '', 'major barbara', 'proof', 'the dinner party', 'ring round the moon', 'footloose', 'ivanov', 'proposals', 'the little foxes', 'an american daughter', 'the last night of ballyhoo', 'once upon a mattress', 'chicago', 'a delicate balance', 'the father', 'my thing of love', 'the heiress', 'philadelphia here i come', 'abe lincoln in illinois', 'white liars black comedy', 'redwood curtain', 'the sisters rosensweig', 'anna christie', 'the real inspector hound and the fifteen minute hamlet', 'the price', 'a small family business', 'the most happy fella', 'penn teller the refrigerator tour', 'the cemetery club', 'love letters', 'aint misbehavin', 'penn teller', 'burn this', 'the nerd', 'loot', 'the octette bridge club', 'baby', 'passion', 'angels fall', 'alice in wonderland', 'monday after the miracle', 'is there life after high school', 'the curse of an aching heart', 'duet for one', 'crimes of the heart', 'fools', 'the five oclock girl', 'fifth of july', 'hide and seek', 'talleys folly', 'faith healer', 'whoopee', 'aint misbehavin', 'the water engine  mr happiness', 'the innocents', 'knock knock', 'an american millionaire', 'veronicas room']",114,1,9
39,jenny beavan,['private lives'],1,0,0
40,hildegard bechtler,"['arcadia', 'hedda gabler', 'the seagull', 'primo']",4,0,0
41,jeffrey beecroft,"['cyrano de bergerac', 'much ado about nothing']",2,0,0
42,norman bel geddes,"['seven lively arts', 'sons and soldiers', 'it happens on ice', 'it happens on ice', 'siege', 'the eternal road', 'iron men', 'dead end', 'flying colors', 'hamlet', 'lysistrata', 'fifty million frenchmen', 'the five oclock girl', 'arabesque', 'ziegfeld follies of', 'lady be good', 'she stoops to conquer', 'the miracle', 'orange blossoms']",19,0,0
