,Designer Names,Plays,Number of Plays,Tony?,Number of Tony Nominations/Wins
293,samuel leve,"['cafe crown', 'have i got a girl for you', 'the jack benny show', 'comes a day', 'double in hearts', 'goodbye again', 'hear hear', 'the fifth season', 'buttrio square', 'dinosaur wharf', 'lace on her petticoat', 'all you need is one good break', 'clutterbuck', 'the madwoman of chaillot', 'davids crown', 'the story of mary surratt', 'a family affair', 'a sound of hunting', 'oh brother', 'round trip', 'its a gift', 'sophie', 'dark hammock', 'hand in glove', 'last stop', 'thank you svoboda', 'wallflower', 'apology', 'mr sycamore', 'beat the band', 'the life of reilly', 'they should have stood in bed', 'all in favor', 'macbeth', 'the distant city', 'the beautiful people', 'the pirates of penzance', 'the mikado', 'the gondoliers', 'medicine show', 'the big blow', 'the shoemakers holiday', 'julius caesar', 'tobias and the angel', 'the miser']",45,0,0
294,james light,"['lysistrata', 'the mayor of zalemea', 'oedipus rex', 'nathan the wise', 'native ground', 'chalk dust', 'this our house', 'panic', 'black souls', 'lost boy', 'rock me julie', 'winter bound', 'fiesta', 'the earth between', 'him', 'hot pan', 'the prisoner', 'the stairs', 'jacob slovak', 'rapid transit', 'east lynne', 'the emperor jones', 'the great god brown', 'the dream play', 'hamlet', 'ruint', 'all gods chillun got wings', 'the spook sonata', 'diffrent']",29,0,0
295,charles lisanby,"['little glass clock', 'romeo and juliet']",2,0,0
296,john robert lloyd,"['laughs and other events', 'drink to me only', 'monique', 'holiday for lovers', 'almost crazy', 'bernardine', 'stalag', 'touch and go', 'mrs gibbons boys', 'inside usa', 'lute song']",11,0,0
297,william ivey long,"['beetlejuice', 'tootsie', 'prince of broadway', 'a bronx tale the musical', 'disaster', 'it shoulda been you', 'on the twentieth century', 'cabaret', 'bullets over broadway', 'big fish', 'rodgers hammersteins cinderella', 'the mystery of edwin drood', 'dont dress for dinner', 'leap of faith', 'hugh jackman back on broadway', 'catch me if you can', 'looped', '', 'pal joey', 'young frankenstein', 'the ritz', 'curtains', 'grey gardens', 'losing louie', 'the caine mutiny court martial', 'sweet charity', 'a streetcar named desire', 'la cage aux folles', 'the frogs', 'twentieth century', 'never gonna dance', 'the boy from oz', 'little shop of horrors', 'hairspray', '', 'thou shalt not', 'the producers', 'seussical', 'the man who came to dinner', 'the music man', 'contact', 'swing', 'epic proportions', 'the civil war', 'annie get your gun', 'cabaret', '', 'king david', 'steel pier', 'chicago', 'big', 'company', 'smokey joes cafe', 'picnic', 'laughter on the', 'face value', 'guys and dolls', 'private lives', 'crazy for you', 'the homecoming', 'six degrees of separation', 'welcome to the club', 'lend me a tenor', 'eastern standard', 'mail', 'sleight of hand', 'smile', 'end of the world', 'play memory', 'the tap dance kid', 'nine', 'mass appeal', 'passione', 'the', 'the inspector general', 'me jack you jill']",76,0,0
298,robert lopez,"['frozen', 'the book of mormon', 'avenue q']",3,0,0
299,santo loquasto,"['gary a sequel to titus andronicus', 'the iceman cometh', 'carousel', 'hello dolly', 'shuffle along or the making of the musical sensation of', 'our mothers brief affair', 'a delicate balance', 'bullets over broadway', 'the assembled parties', 'wit', 'relatively speaking', 'a life in the theatre', 'collected stories', 'fences', 'race', 'ragtime', 'waiting for godot', 'american buffalo', 'a man for all seasons', '', 'inherit the wind', 'prelude to a kiss', 'the times they are a changin', 'shining city', 'three days of rain', 'a touch of the poet', 'glengarry glen ross', 'long days journey into night', 'movin out', 'the elephant man', 'dance of death', 'the tale of the allergists wife', 'fosse', 'ragtime', 'barrymore', 'the rose tattoo', 'a month in the country', 'broken glass', 'the goodbye girl', 'jakes women', 'lost in yonkers', 'miss margaridas way', 'the tenth man', 'grand hotel', 'the secret rapture', 'cafe crown', 'sweet sue', 'singin in the rain', 'the wake of jamey foster', 'the floating light bulb', 'the suicide', 'bent', 'the goodbye people', 'sarav', 'king of hearts', 'stop the world  i want to get off', 'the mighty gents', 'golda', 'miss margaridas way', 'the cherry orchard', 'agamemnon', 'the cherry orchard', 'american buffalo', 'legend', 'push comes to shove', 'murder among friends', 'hamlet', 'kennedys children', 'a dolls house', 'mert phil', 'short eyes', 'dance of death', 'what the wine sellers buy', 'boom boom room', 'the secret affairs of mildred wild', 'that championship season', 'sticks and bones']",77,1,7
300,anna louizos,"['holiday inn the new irving berlin musical', 'school of rock the musical', 'dames at sea', 'it shoulda been you', 'honeymoon in vegas', 'rodgers hammersteins cinderella', 'the performers', 'the mystery of edwin drood', 'baby its you', 'all about me', 'irving berlins white christmas', 'irving berlins white christmas', 'to be or not to be', 'in the heights', 'curtains', 'high fidelity', 'steel magnolias', 'goldas balcony', 'avenue q', 'uncle vanya', 'taller than a dwarf', 'the scarlet pimpernel', 'the red shoes']",23,0,0
301,kermit love,"['naughty naught', 'ballet theatre', 'dark hammock', 'suds in your eye', 'one touch of venus', 'old acquaintance', 'the firemans flame', 'naughty naught']",8,0,0
302,kert f lundell,"['shenandoah', 'waltz of the stork', 'the november people', '', 'rockabye hamlet', 'the night that made america famous', 'hughie  duet', 'the enemy is dead', 'the sunshine boys', 'the lincoln mask', 'dont play us cheap', 'aint supposed to die a natural death', 'solitaire  double solitaire', 'soon', 'the castro complex', 'carry me back to morningside heights', 'under the weather', 'the investigation']",18,1,1
303,larry lurin,"['the petition', 'trick']",2,0,0
304,edith lutyens,"['the deputy', 'bicycle ride to nevada', 'too true to be good', 'dear me the sky is falling', 'a gift of time', 'giants sons of giants', 'do you know the milky way', 'wedding breakfast', 'a girl can tell', 'the crucible', 'the grass harp', 'the shrike', 'two on the aisle', 'as you like it', 'the telephone  the medium', 'ballet theatre']",16,0,0
305,rick lyon,['avenue q'],1,0,0
306,tomas macanna,['borstal boy'],1,0,0
307,bob mackie,"['the cher show', 'minnelli on minnelli', 'putting it together', 'moon over buffalo', 'the best little whorehouse goes public', 'platinum', 'debbie', 'lorelei', 'on the town']",9,0,0
308,robert mackintosh,"['mame', 'gypsy', 'butterflies are free', 'the fig leaves are falling', 'how now dow jones', 'sherry', 'mame', 'a second string', 'saratoga', 'masquerade', 'third best sport', 'interlock', 'fair game', 'mr wonderful', 'silk stockings', 'the boy friend', 'anniversary waltz', 'at home with ethel waters', 'the gambler', 'wish you were here']",20,0,0
309,woods mackintosh,"['theyre playing our song', 'runaways', 'agamemnon']",3,0,0
310,michal macliammir,"['juno and the paycock', 'the importance of being oscar', 'much ado about nothing', 'where stars walk', 'the old lady says no', 'john bulls other island']",6,0,0
311,ian macneil,"['angels in america millennium approaches', 'angels in america perestroika', 'betrayal', 'billy elliot the musical', 'festen', 'via dolorosa', 'an inspector calls']",7,1,1
312,molly maginnis,['show boat'],1,0,0
313,bill maher,['bill maher victory begins at home'],1,0,0
314,mainbocher,"['tiny alice', 'the sound of music', 'the great sebastians', 'blues ballads and sin songs', 'the prescott proposals', 'kind sir', 'wonderful town', 'point of no return', 'not for children', 'call me madam', 'the smile of the world', 'the leading lady', 'dunnigans daughter', 'dream girl', 'foolish notion', 'over', 'one touch of venus', 'blithe spirit']",18,0,0
315,bruno maine,"['bagels and yox', 'howdy mr ice of', 'howdy mr ice', 'icetime of', 'hats off to ice', 'stars on ice', 'stars on ice']",7,0,0
316,john malkovich,"['burn this', 'the caretaker', 'arms and the man', 'death of a salesman']",4,0,0
317,rouben mamoulian,"['oklahoma', 'oklahoma', 'arms and the girl', 'lost in the stars', 'leaf and bough', 'st louis woman', 'carousel', 'sadie thompson', 'oklahoma', 'porgy and bess', 'solid south', 'a farewell to arms', 'a month in the country', 'marco millions', 'the game of love and death', 'porgy', 'wings over europe', 'congai', 'these modern women', 'marco millions', 'porgy']",21,0,0
318,jack mann,"['into the light', 'honky tonk nights', 'wind in the willows', 'oliver', 'the tap dance kid', 'baby', 'the corn is green', 'private lives', 'alice in wonderland', 'a dolls life', 'nine', 'merrily we roll along', 'the little foxes', 'rose', 'piaf', 'amadeus', 'tintypes', 'west side story', 'sweeney todd', 'the grand tour', 'working', 'side by side by sondheim', 'appearing nitely', 'music is', 'the innocents', 'pacific overtures', 'gypsy', 'a little night music', 'follies', 'company', 'its a birdits a planeits superman', 'anya', 'milk and honey', 'a call on kuprin', 'show girl']",35,0,0
319,catherine martin,['la bohme'],1,1,1
320,michael massee,['paul robeson'],1,0,0
321,vito mastrogiovanni,['the nerd'],1,0,0
322,barbara matera,"['west side story', 'private lives', 'how now dow jones', 'i do i do']",4,0,0
323,debi mazar,['speed the plow'],1,0,0
324,john mcclure,"['dance a little closer', 'camelot', 'my fair lady', 'copperfield', 'camelot', 'carmelina', '']",7,0,0
325,phelim mcdermott,['the addams family'],1,0,0
326,michael mcdonald,"['hair', 'hair', 'take me out', 'the goat or who is sylvia', 'the ride down mt morgan']",5,0,0
327,michael mcgiveney,"['doug henning his world of magic', 'quick change']",2,0,0
328,paul c mcguire,"['annie get your gun', 'the southwest corner', 'the love of four colonels', 'an evening with beatrice lillie']",4,0,0
329,james mcmullan,"['my fair lady', 'junk', 'awake and sing', 'seascape', 'love life', 'the light in the piazza', 'king lear', 'henry iv', 'vincent in brixton', 'dinner at eight', 'mornings at seven', 'qed', 'morning noon and night', 'ah wilderness', 'the little foxes', 'arcadia', 'the heiress', 'carousel', 'in the summer house', 'the sisters rosensweig', 'four baboons adoring the sun', 'the most happy fella', 'two shakespearean actors', 'mule bone', 'six degrees of separation', 'the tenth man', 'speed the plow', 'anything goes', 'death and the kings horseman', 'the front page', 'the house of blue leaves', 'the flying karamazov brothers juggling and cheap theatrics', 'anna christie']",33,0,0
330,mel mercier,"['the testament of mary', 'medea']",2,0,0
331,michael merritt,"['speed the plow', 'glengarry glen ross']",2,0,0
332,oliver messel,"['gigi', 'traveller without luggage', 'rashomon', 'the dark is light enough', 'house of flowers', 'the little hut', 'romeo and juliet', 'the ladys not for burning', 'the plays the thing', 'the country wife', 'this year of grace']",11,1,2
333,jo mielziner,"['death of a salesman', 'jerome robbins broadway', 'in praise of love', 'out cry', 'the crucible', 'voices', 'children children', 'fathers day', 'look to the lilies', 'georgy', 'childs play', '', 'the seven descents of myrtle', 'i never sang for my father', 'the prime of miss jean brodie', 'daphne in cottage d', 'that summer  that fall', 'the paisley convertible', 'my sweet charlie', 'dont drink the water', 'venus is', 'the playroom', 'dantons death', 'guys and dolls', 'the owl and the pussycat', 'but for whom charlie', 'after the fall', 'the milk train doesnt stop here anymore', 'mr president', 'all american', 'everybody loves opal', 'the devils advocate', 'little moon of alban', 'period of adjustment', 'christine', 'the best man', 'there was a little girl', 'silent night lonely night', 'the gangs all here', 'gypsy', 'sweet bird of youth', 'the most happy fella', 'rashomon', 'whoop up', 'the gazebo', 'the world of suzie wong', 'handful of fire', 'the day the money stopped', 'oh captain', 'look homeward angel', 'the square root of wonderful', 'miss lonelyhearts', 'happy hunting', 'the most happy fella', 'a streetcar named desire', 'middle of the night', 'pipe dream', 'the lark', 'island of goats', 'south pacific', 'guys and dolls', 'cat on a hot tin roof', 'silk stockings', 'fanny', 'all summer long', 'by the beautiful sea', 'kind sir', 'tea and sympathy', 'me and juliet', 'can can', 'picnic', 'the gambler', 'wish you were here', 'flight into egypt', 'point of no return', 'top banana', 'a tree grows in brooklyn', 'the king and i', 'guys and dolls', 'burning bright', 'a streetcar named desire', 'the wisteria trees', 'the innocents', 'dance me a song', 'the man', 'south pacific', 'carousel', 'death of a salesman', 'anne of the thousand days', 'summer and smoke', 'sleepy hollow', 'mister roberts', 'a streetcar named desire', 'allegro', 'command decision', 'barefoot boy with cheek', 'the chocolate soldier', 'finians rainbow', 'street scene', 'the big two', 'another part of the forest', 'happy birthday', 'ballet theatre', 'annie get your gun', 'jeb', 'dream girl', 'the rugged path', 'beggars are coming to town', 'carib song', 'hollywood pinafore', 'carousel', 'the glass menagerie', 'the barretts of wimpole street', 'the firebrand of florence', 'foolish notion', 'susan and god', 'by jupiter', 'solitaire', 'the seventh trumpet', 'the land is bright', 'candle in the wind', 'best foot forward', 'the wookey', 'watch on the rhine', 'the talley method', 'the cream in the well', 'mr and mrs north', 'flight to the west', 'pal joey', 'journey to jerusalem', 'higher and higher', 'higher and higher', 'two on an island', 'christmas eve', 'mornings at seven', 'key largo', 'too many girls', 'no time for comedy', 'stars in your eyes', 'mrs obrien entertains', 'the boys from syracuse', 'knickerbocker holiday', 'abe lincoln in illinois', 'sing out the news', 'i married an angel', 'save me the waltz', 'on borrowed time', 'yr obedient husband', 'barchester towers', 'father malachys miracle', 'too many heroes', 'antony and cleopatra', 'susan and god', 'the star wagon', 'high tor', 'the women', 'the wingless victory', 'daughters of atreus', 'hamlet', 'st helena', 'on your toes', 'saint joan', 'the postman always rings twice', 'co respondent unknown', 'ethan frome', 'a room in red and white', 'romeo and juliet', 'pride and prejudice', 'jubilee', 'winterset', 'kind lady', 'kind lady', 'flowers of the forest', 'panic', 'de luxe', 'the barretts of wimpole street', 'its you i want', 'accent on youth', 'romeo and juliet', 'spring song', 'merrily we roll along', 'dodsworth', 'the pure in heart', 'yellow jack', 'dodsworth', 'biography', 'by your leave', 'the lake', 'the dark tower', 'i was waiting for you', 'a divine drudge', 'champagne sec', 'of thee i sing', 'biography', 'gay divorce', 'hey nonny nonny', 'of thee i sing', 'brief moment', 'the barretts of wimpole street', 'sweet and low', 'uncle vanya', 'jenny', 'the little show', 'street scene', 'a most immoral lady', 'strange interlude', 'the doctors dilemma', 'the guardsman', 'saint joan', 'the failures']",210,1,22
334,craig miller,"['white liars black comedy', 'the most happy fella', 'oh kay', 'romance  romance', 'safe sex', 'stepping out', 'wind in the willows', 'doubles', 'take me along', 'brothers', 'the west side waltz', 'i wont dance', 'the five oclock girl', 'barnum', 'on golden pond', 'on golden pond']",16,0,0
335,lawrence miller,"['catskills on broadway', 'the loves of anatol', 'teaneck tanzi the venus flytrap', 'nine']",4,1,1
336,robert milton,"['golden wings', 'theatre', 'viva obrien', 'the burning deck', 'here come the clowns', 'the seagull', 'black limelight', 'among those sailing', 'the season changes', 'the oflynn', 'dark victory', 'the marriage bed', 'napoleon', 'paradise', 'revelry', 'patience', 'peggy ann', 'sandalwood', 'bride of the lamb', 'last night of don juan  the pilgrimage', 'the enemy', 'june days', 'a bit of love', 'the dark angel', 'the youngest', 'the far cry', 'in love with love', 'as you like it', 'you and i', 'the lady cristilinda', 'banco', 'a serpents tooth', 'madame pierre', 'he who gets slapped', 'bluebeards eighth wife', 'the unwritten chapter', 'the charm school', 'crooked gamblers', 'the rose of china', 'adam and eva', 'the five million', 'oh my dear', 'oh lady lady', 'miss information', 'cousin lucy', '', 'the new henrietta', 'bachelors and benedicts', 'the devil']",49,0,0
337,fania mindell,"['uncle vanya', 'uncle vanya']",2,0,0
338,vincente minnelli,"['minnelli on minnelli', 'dance me a song', 'very warm for may', 'hooray for what', 'the show is on', 'the show is on', 'ziegfeld follies of', 'ziegfeld follies of', 'at home abroad', 'the dubarry', 'earl carrolls vanities', 'earl carrolls vanities', 'earl carrolls vanities']",13,0,0
339,william mintzer,"['eubie', 'a history of the american film', 'cold storage', 'yentl', 'raisin']",5,0,0
340,david mitchell,"['dream', 'aint broadway grand', 'the high rollers social and pleasure club', 'the big love', 'tru', 'legs diamond', 'broadway bound', 'the boys of winter', 'the odd couple', 'biloxi blues', 'harrigan n hart', 'la cage aux folles', 'dance a little closer', 'private lives', 'brighton beach memoirs', 'foxfire', 'can can', 'bring back birdie', 'barnum', 'the price', 'i remember mama', 'working', 'the gin game', 'annie', 'i love my wife', 'mrs warrens profession', 'trelawny of the wells', 'little black sheep', 'short eyes', 'the incomparable max', 'how the other half loves', 'grin and bare it  postcards', 'no place to be somebody']",33,1,7
341,robert d mitchell,"['chu chem', 'oedipus rex', 'a meeting by the river', 'beatlemania', 'the basic training of pavlo hummel', 'ipi tombi', 'a little night music', 'medea', 'the sudden accidental re education of horse johnson']",9,0,0
342,isaac mizrahi,"['the threepenny opera', 'barefoot in the park', 'the women']",3,0,0
343,fred mogubgub,['oh dad poor dad mammas hung you in the closet and im feelin so sad'],1,0,0
344,tanya moiseiwitsch,"['king lear', 'the misanthrope', 'the house of atreus', 'the broken jug', 'two gentlemen of verona', 'the matchmaker', 'the critic', 'uncle vanya']",8,1,1
345,e h beresford monck,"['bette divine madness', 'the rocky horror show']",2,0,0
346,yves montand,"['an evening with yves montand', 'an evening with yves montand']",2,0,0
347,beni montresor,"['rags', 'the marriage of figaro', 'do i hear a waltz', 'marco millions']",4,1,2
348,ruth morley,"['spoils of war', 'as you like it', 'macbeth', 'romeo and juliet', 'death of a salesman', 'twice around the park', 'its so nice to be civilized', 'deathtrap', 'ladies at the alamo', 'hughie  duet', 'heres where i belong', 'wait until dark', 'xmas in las vegas', 'cafe crown', 'dylan', 'in the counting house', 'a thousand clowns', 'toys in the attic', 'the long dream', 'roman candle', 'only in america', 'the miracle worker', 'the most happy fella', 'the shadow of a gunman', 'who was that lady i saw you with', 'the cave dwellers', 'a moon for the misbegotten', 'the great sebastians', 'inherit the wind', 'anastasia', 'take a giant step', 'a pin to see the peepshow', 'the long days', 'night music', 'billy budd', 'the cellar and the well']",36,0,0
349,paul morrison,"['the jockey club stakes', 'conduct unbecoming', 'the price', 'after the rain', 'sponono', 'the student gypsy', 'too true to be good', 'a man for all seasons', 'the complaisant lover', 'the caretaker', 'rape of the belt', 'invitation to a march', 'duel of angels', 'a thurber carnival', 'lysistrata', 'flowering cherry', 'happy town', 'much ado about nothing', 'the nervous set', 'kataki', 'masquerade', 'make a million', 'the visit', 'maybe tuesday', 'the sin of pat muldoon', 'ziegfeld follies of', 'candide', 'cranks', 'separate tables', 'sixth finger in a five finger glove', 'the loud red patrick', 'tamburlaine the great', 'joyce grenfell requests the pleasure', 'tiger at the gates', 'once upon a tailor', 'bus stop', 'abies irish rose', 'the tender trap', 'the confidential clerk', 'cyrano de bergerac', 'on borrowed time', 'sunday breakfast', 'four saints in three acts', 'golden boy', 'mrs mcthing', 'desire under the elms', 'faithfully yours', 'twilight walk', 'getting married', 'billy budd', 'the cellar and the well', 'arms and the man', 'affairs of state', 'the closing door', 'the young and fair', 'all my sons', 'a pound on demand  androcles and the lion', 'john gabriel borkman', 'what every woman knows', 'love on leave', 'that old devil', 'mrs january and mr x', 'ill take the high road', 'hedda gabler', 'walk into my parlor', 'thunder rock', 'case of clyde griffiths', 'paradise lost', 'till the day i die']",69,0,0
350,ramse mostoller,"['venus is', 'the impossible years', 'the affair']",3,0,0
351,rupert murray,"['riverdance  on broadway', 'juno and the paycock']",2,0,0
352,jane musky,['the news'],1,0,0
353,tharon musser,"['a chorus line', 'the lonesome west', 'uncle vanya', 'laughter on the', 'the goodbye girl', 'jakes women', 'the secret garden', 'lost in yonkers', 'artist descending a staircase', 'welcome to the club', 'rumors', 'teddy alice', 'dreamgirls', 'a month of sundays', 'broadway bound', 'jerrys girls', 'the odd couple', 'biloxi blues', 'open admissions', 'the real thing', 'private lives', 'brighton beach memoirs', 'merlin', 'special occasions', 'dreamgirls', 'the moony shapiro songbook', 'fools', '', 'the roast', 'i ought to be in pictures', 'children of a lesser god', 'whose life is it anyway', 'last licks', 'romantic comedy', 'the', 'whose life is it anyway', 'theyre playing our song', 'ballroom', 'tribute', 'chapter two', 'the act', 'california suite', '', 'pacific overtures', 'me and bessie', 'a chorus line', 'same time next year', 'the wiz', 'good news', 'gods favorite', 'mack mabel', 'scapino', 'candide', 'the good doctor', 'a little night music', 'the sunshine boys', 'don juan', 'the great god brown', 'the creation of the world and other business', 'night watch', 'the prisoner of second avenue', 'on the town', 'the trial of the catonsville nine', 'follies', 'the boy friend', 'applause', 'blood red roses', 'the gingham dog', 'a way of life', 'the fig leaves are falling', 'maggie flynn', 'lovers', 'everything in the garden', 'the promise', 'after the rain', 'the birthday party', 'tonight at', 'a touch of the poet', 'the imaginary invalid', 'hallelujah baby', 'breakfast at tiffanys', 'a delicate balance', 'mame', 'the lion in winter', 'the great indoors', 'malcolm', 'minor miracle', 'flora the red menace', 'all in good time', 'kelly', 'alfie', 'golden boy', 'the crucible', 'the seagull', 'any wednesday', 'marathon', 'heres love', 'mother courage and her children', 'andorra', 'nowhere to go but up', 'calculated risk', 'giants sons of giants', 'the garden of sweets', 'the tumbler', 'the long dream', 'peer gynt', 'five finger exercise', 'only in america', 'the great god brown', 'once upon a mattress', 'the beaux stratagem', 'the rivalry', 'jb', 'the shadow of a gunman', 'the firstborn', 'the entertainer', 'the infernal machine', 'the chairs and the lesson', 'makropoulos secret', 'monique', 'shinbone alley', 'lil abner', 'long days journey into night']",123,0,0
354,john napier,"['cats', 'equus', 'les misrables', 'jane eyre', 'sunset boulevard', 'miss saigon', 'starlight express', 'les misrables', 'the life and adventures of nicholas nickleby', 'cats', 'the life and adventures of nicholas nickleby', 'equus']",12,1,5
355,ve neill,['the pee wee herman show'],1,0,0
356,richard nelson,"['swinging on a star', 'the molire comedies', 'comedy tonight', 'the shadow box', 'the flowering peach', 'no mans land', 'the government inspector', 'timon of athens', 'three men on a horse', 'saint joan', 'the seagull', 'shimada', 'the master builder', 'private lives', 'a little hotel on the side', 'the crucible', 'the secret rapture', 'mandy patinkin in concert dress casual', 'cafe crown', 'the night of the iguana', 'mail', 'into the woods', 'sleight of hand', 'blithe spirit', 'you never can tell', 'the boys in autumn', 'long days journey into night', 'loot', 'precious sons', 'arms and the man', 'harrigan n hart', 'sunday in the park with george', 'awake and sing', 'the tap dance kid', 'the corn is green', 'the caine mutiny court martial', 'the misanthrope', 'a little family business', 'present laughter', 'solomons child', 'oh brother', 'the supporting cast', 'onward victoria', 'mornings at seven', 'censored scenes from king kong', 'the lady from dubuque', 'king of schnorrers', 'the price', 'bruce forsyth on broadway', 'murder at the howard johnsons', 'merce cunningham and dance company', 'the trip back down', 'so long', 'zalmen or the madness of god', 'in praise of love', 'the magic show', 'the sign in sidney brusteins window', 'all over', 'bob and ray  the two and only', 'gloria and esperanza', 'watercolor criss crossing', 'coco', 'the caucasian chalk circle']",63,0,0
357,nesor costume company,['oh ernest'],1,0,0
358,michael newell,['the winslow boy'],1,0,0
359,peter nigrini,"['beetlejuice', 'aint too proud', 'spongebob squarepants', 'a dolls house part', 'amlie a new musical', 'dear evan hansen', 'an act of god', 'an act of god', 'the heidi chronicles', 'fela', 'gore vidals the best man', 'fela', '', 'say goodnight gracie']",14,0,0
360,isamu noguchi,"['martha graham and dance company', 'martha graham and her dance company', 'martha graham', 'martha graham']",4,0,0
361,norman norell,['cactus flower'],1,0,0
362,sam norkin,['a musical jubilee'],1,0,0
363,kirk nurock,"['the three musketeers', 'the little prince and the aviator', 'the father', 'the madwoman of central park west', 'g r point', 'working', 'shelter', 'two gentlemen of verona']",8,0,0
364,robert obradovich,"['dracula', 'an evening with richard nixon and', 'lovely ladies kind gentlemen', 'whoop up']",4,0,0
365,timothy obrien,"['macbeth', 'a dolls life', 'evita', 'bedroom farce', 'poor bitos']",5,1,1
366,carol oditz,"['monday after the miracle', 'play me a country song', 'is there life after high school']",3,0,0
367,donald oenslager,"['good news', 'the wrong way light bulb', 'avanti', 'spofford', 'love in e flat', 'one by one', 'a case of libel', 'the irregular verb to love', 'venus at large', 'first love', 'blood sweat and stanley poole', 'a call on kuprin', 'a far country', 'dear liar', 'the highest tree', 'a majority of one', 'the man in the dog suit', 'the marriage go round', 'the pleasure of his company', 'the girls in', 'a shadow of my enemy', 'natures way', 'mary stuart', 'four winds', 'major barbara', 'janus', 'a roomful of roses', 'the wooden dish', 'dear charles', 'the prescott proposals', 'madam will you walk', 'escapade', 'sabrina fair', 'horses in midstream', 'to be continued', 'candida', 'paris', 'the constant wife', 'the small hours', 'peer gynt', 'second threshold', 'the live wire', 'the liar', 'the velvet glove', 'the rat race', 'the father', 'at war with the army', 'the smile of the world', 'goodbye my fancy', 'life with mother', 'the leading lady', 'town house', 'the men we marry', 'angel in the wings', 'eastward in eden', 'how i wonder', 'portrait in black', 'message for margaret', 'the eagle has two heads', 'lovely me', 'lands end', 'years ago', 'the fatal weakness', 'park avenue', 'present laughter', 'loco', 'on whitman avenue', 'three to make ready', 'born yesterday', 'pygmalion', 'hairpin harmony', 'the flowers of virtue', 'pie in the sky', 'theatre', 'spring again', 'mr big', 'the doctors dilemma', 'claudia', 'the lady who came to stay', 'my sister eileen', 'the old foolishness', 'retreat to pleasure', 'beverly hills', 'my dear children', 'young couple wanted', 'i know what i like', 'margin for error', 'the man who came to dinner', 'skylark', 'the american way', 'from vienna', 'off to buffalo', 'the american way', 'a womans a fool  to be clever', 'the fabulous invalid', 'the good', 'the circle', 'spring thaw', 'i am my youth', 'a dolls house', 'edna his wife', 'of mice and men', 'robin landing', 'id rather be right', 'miss quis', 'you cant take it with you', '', 'johnny johnson', 'matrimony pfd', 'red hot and blue', 'sweet river', 'ten million ghosts', 'stage door', 'timber house', 'russet mantle', 'tapestry in gray', 'first lady', 'sweet mystery of life', 'something gay', 'gold eagle guy', 'anything goes', 'the farmer takes a wife', 'dance with your gods', 'divided by three', 'the lady from the sea', 'jezebel', 'keeper of the keys', 'uncle toms cabin', 'forsaking all others', 'a thousand summers', 'east wind', 'singin the blues', 'free for all', 'americas sweetheart', 'you said it', 'overture', 'girl crazy', 'heads up', 'follow thru', 'the new moon', 'good news', 'desire under the elms']",142,1,2
368,tim oheir,['hedwig and the angry inch'],1,0,0
369,laurence olivier,"['filumena', 'rosencrantz and guildenstern are dead', 'becket', 'becket', 'one more river', 'the tumbler', 'the entertainer', 'venus observed', 'antony and cleopatra', 'caesar and cleopatra', 'daphne laureola', 'the critic', 'oedipus rex', 'uncle vanya', 'king henry iv part ii', 'king henry iv part i', 'romeo and juliet', 'no time for comedy', 'the green bay tree', 'private lives', 'murder on the second floor']",21,0,0
370,julia trevelyan oman,"['brief lives', 'brief lives']",2,0,0
371,hctor orezzoli,"['tango argentino', 'black and blue', 'flamenco puro', 'tango argentino']",4,1,1
372,robert ornbo,"['travesties', 'london assurance', 'as you like it', 'company']",4,0,0
373,hiram ortiz,"['speed the plow', 'raggedy ann', 'mame', 'marlowe']",4,0,0
374,albert a ostrander,"['the littlest circus', 'the duchess misbehaves', 'seven lively arts', 'sleep no more', 'all for all', 'ziegfeld follies of', 'something for the boys', 'count me in', 'uncle harry', 'sons o fun', 'panama hattie', 'louisiana purchase', 'a case of youth', 'du barry was a lady', 'where theres a will']",15,0,0
375,teo otto,"['the visit', 'the good woman of setzuan']",2,1,1
376,robert rowe paddock,"['hostile witness', 'alice in wonderland', 'burlesque', 'yellow jack', 'winged victory']",5,0,0
377,martin pakledinaz,"['chaplin', 'nice work if you can get it', 'man and boy', 'master class', 'the normal heart', 'anything goes', 'lend me a tenor', 'blithe spirit', 'gypsy', 'is he dead', 'grease', 'the pirate queen', 'the pajama game', 'wonderful town', 'the look of love', 'a year with frog and toad', 'the boys from syracuse', 'thoroughly modern millie', 'a thousand clowns', 'taller than a dwarf', 'kiss me kate', 'golden child', 'the diary of anne frank', 'the life', 'summer and smoke', 'the father', 'holiday', 'hedda gabler', 'a grand night for singing', 'anna christie', 'hamlet', 'you never can tell', 'la cage aux folles', 'i wont dance', 'inacent black', 'onward victoria', '']",37,0,0
378,gunilla palmstierna weiss,['the persecution and assassination of marat as performed by the inmates of the asylum of charenton under the direction of the marquis de sade'],1,0,0
379,chris parry,"['brooklyn boy', 'not about nightingales', 'a midsummer nights dream', 'translations', 'the whos tommy', 'search and destroy', 'les liaisons dangereuses']",7,0,0
380,richard peaslee,"['salome', 'the marriage of figaro', 'frankenstein', 'teibele and her demon', 'the effect of gamma rays on man in the moon marigolds', 'the lady from the sea', 'boccaccio', 'a midsummer nights dream', 'indians', 'a cry of players', 'the persecution and assassination of jean paul marat as performed by the inmates of the asylum of charenton under the direction of the marquis de sade', 'the persecution and assassination of marat as performed by the inmates of the asylum of charenton under the direction of the marquis de sade']",12,0,0
